text;;
Situasi simpang Margonda ramai lancar 2016 05 12 15:37:42 @Dishub_Dpk @pemkotdepok @IdrisAShomad... http://youtu.be/mC1S-IpcXjM?a ;;
Situasi simpang Ramanda ramai lancar 2016 05 12 15:31:25 @Dishub_Dpk @pemkotdepok @IdrisAShomad... http://youtu.be/2EC3oEUZEiU?a ;;
Hari ini ;;) @IdrisAShomad pic.twitter.com/RuGqd4O1jC
Situasi simpang Siliwangi lancar 2016 05 12 15:27:33 @Dishub_Dpk @pemkotdepok @IdrisAShomad @pradi_supriatna http://youtu.be/Ki_9uJ5zVYM?a ;;
Situasi simpang Jatijajar lancar 2016 05 12 15:23:36 @Dishub_Dpk @pemkotdepok @IdrisAShomad @pradi_supriatna http://youtu.be/UE6SeDld9-8?a ;;
Situasi simpang Cijago ramai lancar 2016 05 12 15:18:54 @Dishub_Dpk @pemkotdepok @IdrisAShomad... http://youtu.be/_l5bufAZ_lw?a ;;
Semoga cepat sembuh bang @pradi_supriatna,https://twitter.com/IdrisAShomad/status/730544405694685185 …;;
@IdrisAShomad :Pelayanan Malam Hari Mendukung Program Pemkot http://liputandepok.com/idris-pelayanan-malam-hari-mendukung-program-pemkot/ … @infodepok123 @SukmajayaDPK @Humas_depok @detikcom;;
Distankan Kota Depok Gelar Pameran Produk Pertanian Dan Perikanan http://liputandepok.com/distankan-gelar-pameran-produk-pertanian-perikanan-dan-peternakan/ … @Humas_depok @detikcom @infodepok123 @IdrisAShomad;;
Forkabi Depok Dukung Penuh Idris-Pradi Sampai Akhir Masa Jabatan http://liputandepok.com/forkabi-depok-dukung-penuh-idris-pradi-sampai-akhir-masa-jabatan/ … @SaungForkabi @IdrisAShomad @infodepok123;;
bukan berkenan..tp memang harus hadir.;;
Peresmian Kampung Ukm Digital Belimbing Depok di Kp.Areman Tugu @pemkotdepok @IdrisAShomad @fitriawansumadipic.twitter.com/hKHXzUFBbw;;
Giat Penyegelan Rumah Usaha  Tak Berijin di Kelurahan Jatijajar @IdrisAShomad @pemkotdepokpic.twitter.com/Yo18KG75HQ;;
Semoga di acara hari Ahad ini pak @IdrisAShomad dan Ibu @bundaelly16 berkenan hadir.. :);;
Alhamdulillah di acara sebelumnya pun pak Lurah Tanah Baru dan istri berkenan hadir @IdrisAShomad @pemkotdepokpic.twitter.com/iIKZftSWWI;;
Perbaikan lampu penerangan jalan umum di jl.Arief RH @pemkotdepok @IdrisAShomad pic.twitter.com/Nj2jZOazcO;;
"""Membaca dan Belanja"", kegiatan yg bisa dihadiri anak dan orangtuanya.. :) @IdrisAShomad @pemkotdepok";;
Kegiatan 'baca buku bersama' dimodifikasi dengan tambahan kegiatan , yaitu bazaar warga.. @IdrisAShomad @pemkotdepok;;
Kemeriahan acara warga di RT 08/12 Tanah Baru pada Perpus Keliling -jilid pertama- @IdrisAShomad @pemkotdepokpic.twitter.com/BsTeilVIjN;;
Alhamdulillah dengan adanya bus Perpus Keliling dr KAP Depok, anak-anak Depok semangat membaca @IdrisAShomad @pemkotdepok;;
Kegiatan kerjasama dengan KAP ini yang kedua kalinya, setelah pertama kali diadakan pada 13 Maret lalu @IdrisAShomad @pemkotdepok;;
Meski tidak bisa menyampaikan secara tertulis, semoga Pak @IdrisAShomad berkenan untuk hadir bersilaturahmi... :) pic.twitter.com/0lFfKIVx1v;;
#Depok @PemkotDepok RT @atcs_dishub: Situasi simpang Sengon ramai lancar 2016 05 12 08:14 @Dishub_Dpk @pemkotdepok @IdrisAShomad @pra...;;
Bpk @IdrisAShomad Imbau ASN Ramaikan Produk Perikanan http://bit.ly/24N1lhm ;;
@IdrisAShomad assalamualaikum pak wali, saya inin mengundang bapak untuk datang ke merpati sabtu minggu ini, kita sama2 nge PERSIKAD bareng;;
Gerimis Telur di Balaikota Depok http://humas.depok.go.id/gerimis-telur-di-balaikota-depok.aspx … @IdrisAShomad @bundaelly16 @distankan01 @EtySurya @relawanIPman;;
